Date,Name,Year,Letterboxd URI,Type,Genre,IMDbRating,Runtime,OMDbYear
2025-05-18,Solomon Kane,,https://boxd.it/1gju,movie,"Action, Adventure, Fantasy",6.1,104 min,2009
2025-05-18,Season of the Witch,,https://boxd.it/1zJ2,movie,"Action, Adventure, Fantasy",5.4,95 min,2011
2025-05-18,Snowpiercer,,https://boxd.it/3Icg,movie,"Action, Sci-Fi, Thriller",7.1,126 min,2013
2025-05-18,Riddick,,https://boxd.it/35Jq,movie,"Action, Adventure, Sci-Fi",6.4,119 min,2013
2025-05-18,Seventh Son,,https://boxd.it/2czq,movie,"Action, Adventure, Fantasy",5.5,102 min,2014
2025-05-18,King Arthur: Legend of the Sword,,https://boxd.it/8lDS,movie,"Action, Adventure, Drama",6.7,126 min,2017
2025-05-18,Sicario: Day of the Soldado,,https://boxd.it/e4fG,movie,"Action, Crime, Drama",7.1,122 min,2018
2025-05-18,Sicario,,https://boxd.it/8i7u,movie,"Action, Crime, Drama",7.7,121 min,2015
2025-05-18,The Tomorrow War,,https://boxd.it/lE78,movie,"Action, Adventure, Drama",6.6,138 min,2021
2025-05-18,Extraction 2,,https://boxd.it/q4Zo,movie,N/A,N/A,N/A,2023
2025-05-18,Extraction,,https://boxd.it/jUjA,movie,"Action, Crime, Thriller",6.8,116 min,2020
2025-05-18,The Human Condition III: A Soldier's Prayer,,https://boxd.it/1dIQ,movie,"Drama, History, War",8.8,190 min,1961
2025-05-18,The Human Condition I: No Greater Love,,https://boxd.it/1jAy,movie,"Drama, History, War",8.5,208 min,1959
2025-05-18,The Human Condition II: Road to Eternity,,https://boxd.it/1dJa,movie,"Drama, History, War",8.5,181 min,1959
2025-05-19,Rescued by Ruby,,https://boxd.it/yIpc,movie,"Biography, Drama, Family",7.2,90 min,2022
2025-05-19,The Disappearance of Willie Bingham,,https://boxd.it/bTB8,movie,"Short, Crime, Drama",7.0,12 min,2015
2025-05-19,The Disappearance of Haruhi Suzumiya,,https://boxd.it/19Ds,movie,"Animation, Drama, Mystery",8.0,162 min,2010
2025-05-19,The Devil All the Time,,https://boxd.it/i2tY,movie,"Crime, Drama, Thriller",7.1,138 min,2020
2025-05-20,Tucker and Dale vs. Evil,,https://boxd.it/Mce,movie,"Comedy, Horror",7.5,89 min,2010
2025-05-20,Silent Hill,,https://boxd.it/2a3C,movie,"Horror, Mystery",6.5,125 min,2006
2025-05-20,Barbarian,,https://boxd.it/yohi,movie,"Horror, Mystery, Thriller",7.0,102 min,2022
2025-05-20,The Descent,,https://boxd.it/1YNy,movie,"Adventure, Horror, Thriller",7.2,99 min,2005
2025-05-20,The Ring,,https://boxd.it/2a70,movie,"Horror, Mystery",7.1,115 min,2002
2025-05-21,Hide and Seek,,https://boxd.it/1UEi,movie,"Horror, Mystery",5.9,101 min,2005
2025-05-21,Ripley,,https://boxd.it/LT5S,series,"Crime, Drama, Thriller",8.1,N/A,2024
2025-05-21,Man on Fire,,https://boxd.it/1Yvk,movie,"Action, Crime, Drama",7.7,146 min,2004
2025-05-21,The House That Jack Built,,https://boxd.it/dWO4,movie,"Crime, Drama, Horror",6.8,152 min,2018
2025-05-21,La La Land,,https://boxd.it/a5fa,movie,"Comedy, Drama, Music",8.0,128 min,2016
2025-05-21,Little Women,,https://boxd.it/aSVk,movie,"Drama, Romance",7.8,135 min,2019
2025-05-21,10 Things I Hate About You,,https://boxd.it/23AO,movie,"Comedy, Drama, Romance",7.3,97 min,1999
2025-05-21,Spirited Away,,https://boxd.it/2b4m,movie,"Animation, Adventure, Family",8.6,124 min,2001
2025-05-21,Howl's Moving Castle,,https://boxd.it/23De,movie,"Animation, Adventure, Family",8.2,119 min,2004
2025-05-21,Lady Bird,,https://boxd.it/dGNE,movie,"Comedy, Drama",7.4,94 min,2017
2025-05-21,The Truman Show,,https://boxd.it/18U8,movie,"Comedy, Drama",8.2,103 min,1998
2025-05-21,Mulholland Drive,,https://boxd.it/297o,movie,"Drama, Mystery, Thriller",7.9,147 min,2001
2025-05-21,Taxi Driver,,https://boxd.it/2b8y,movie,"Crime, Drama",8.2,114 min,1976
2025-05-21,12 Angry Men,,https://boxd.it/2auI,movie,"Crime, Drama",9.0,96 min,1957
2025-05-21,Oldboy,,https://boxd.it/29R2,movie,"Action, Drama, Mystery",8.3,120 min,2003
2025-05-21,Titanic,,https://boxd.it/2a2k,movie,"Drama, Romance",7.9,194 min,1997
2025-05-21,Her,,https://boxd.it/4O24,movie,"Drama, Romance, Sci-Fi",8.0,126 min,2013
2025-05-21,Lost in Translation,,https://boxd.it/2b0E,movie,"Comedy, Drama",7.7,102 min,2003
2025-05-21,Stand by Me,,https://boxd.it/2aOe,movie,"Adventure, Comedy, Drama",8.1,89 min,1986
2025-05-21,Challengers,,https://boxd.it/zld0,movie,"Comedy, Drama, Romance",7.0,131 min,2024
2025-05-21,The Big Lebowski,,https://boxd.it/2b6C,movie,"Comedy, Crime",8.1,117 min,1998
2025-05-21,Moonlight,,https://boxd.it/d6bE,movie,Drama,7.4,111 min,2016
2025-05-21,Drive,,https://boxd.it/IG,movie,"Action, Drama",7.8,100 min,2011
2025-05-21,Poor Things,,https://boxd.it/tNWU,movie,"Comedy, Drama, Romance",7.8,141 min,2023
2025-05-21,Superbad,,https://boxd.it/20hO,movie,Comedy,7.6,113 min,2007
2025-05-21,The Royal Tenenbaums,,https://boxd.it/1YHU,movie,"Comedy, Drama",7.6,110 min,2001
2025-05-21,Babylon,,https://boxd.it/mM02,movie,"Comedy, Drama",7.1,189 min,2022
2025-05-21,The Breakfast Club,,https://boxd.it/27q4,movie,"Comedy, Drama",7.8,97 min,1985
2025-05-21,Léon: The Professional,,https://boxd.it/2b8S,movie,"Action, Crime, Drama",8.5,110 min,1994
2025-05-21,The Substance,,https://boxd.it/zanS,movie,"Drama, Horror, Sci-Fi",7.3,141 min,2024
2025-05-21,My Neighbor Totoro,,https://boxd.it/20eA,movie,"Animation, Comedy, Family",8.1,86 min,1988
2025-05-21,Kiki's Delivery Service,,https://boxd.it/1JAY,movie,"Animation, Family, Fantasy",7.8,103 min,1989
2025-05-21,It's a Wonderful Life,,https://boxd.it/28xA,movie,"Drama, Family, Fantasy",8.6,130 min,1946
2025-05-21,Manchester by the Sea,,https://boxd.it/b2L0,movie,Drama,7.8,137 min,2016
2025-05-21,Eyes Wide Shut,,https://boxd.it/2axs,movie,"Drama, Mystery, Thriller",7.5,159 min,1999
2025-05-21,One Flew Over the Cuckoo's Nest,,https://boxd.it/2aeA,movie,Drama,8.7,133 min,1975
2025-05-21,Singin' in the Rain,,https://boxd.it/29oY,movie,"Comedy, Musical, Romance",8.3,103 min,1952
2025-05-21,Stalker,,https://boxd.it/28PO,movie,"Drama, Sci-Fi",8.0,162 min,1979
2025-05-21,Casablanca,,https://boxd.it/2aG0,movie,"Drama, Romance, War",8.5,102 min,1942
